DivisionNm,CountNum,CandidateId,Surname,PartyAb,Votes,PrefFlow,FromPartyAb,StateAb,DivisionId,PartyNm
Adelaide,0,33271,KANGAS,AJP,2894,2894,FirstPref,SA,179,Animal Justice Party
Adelaide,1,33271,KANGAS,AJP,3117,223,AUD,SA,179,Animal Justice Party
Adelaide,2,33271,KANGAS,AJP,0,-3117,AJP,SA,179,Animal Justice Party
Adelaide,3,33271,KANGAS,AJP,0,0,UAPP,SA,179,Animal Justice Party
Adelaide,4,33271,KANGAS,AJP,0,0,GRN,SA,179,Animal Justice Party
Adelaide,0,33019,GEORGANAS,ALP,43163,43163,FirstPref,SA,179,Australian Labor Party (South Australian Branch)
Adelaide,1,33019,GEORGANAS,ALP,43600,437,AUD,SA,179,Australian Labor Party (South Australian Branch)
Adelaide,2,33019,GEORGANAS,ALP,44222,622,AJP,SA,179,Australian Labor Party (South Australian Branch)
Adelaide,3,33019,GEORGANAS,ALP,45058,836,UAPP,SA,179,Australian Labor Party (South Australian Branch)
Adelaide,4,33019,GEORGANAS,ALP,62362,17304,GRN,SA,179,Australian Labor Party (South Australian Branch)
Adelaide,0,33037,JAMES,AUD,2039,2039,FirstPref,SA,179,Australian Democrats
Adelaide,1,33037,JAMES,AUD,0,-2039,AUD,SA,179,Australian Democrats
Adelaide,2,33037,JAMES,AUD,0,0,AJP,SA,179,Australian Democrats
Adelaide,3,33037,JAMES,AUD,0,0,UAPP,SA,179,Australian Democrats
Adelaide,4,33037,JAMES,AUD,0,0,GRN,SA,179,Australian Democrats
Adelaide,0,33010,POCOCK,GRN,16853,16853,FirstPref,SA,179,Australian Greens
Adelaide,1,33010,POCOCK,GRN,17761,908,AUD,SA,179,Australian Greens
Adelaide,2,33010,POCOCK,GRN,19376,1615,AJP,SA,179,Australian Greens
Adelaide,3,33010,POCOCK,GRN,20423,1047,UAPP,SA,179,Australian Greens
Adelaide,4,33010,POCOCK,GRN,0,-20423,GRN,SA,179,Australian Greens
Adelaide,0,33027,OSBORN,LP,38753,38753,FirstPref,SA,179,Liberal Party of Australia (S.A. Division)
Adelaide,1,33027,OSBORN,LP,39049,296,AUD,SA,179,Liberal Party of Australia (S.A. Division)
Adelaide,2,33027,OSBORN,LP,39501,452,AJP,SA,179,Liberal Party of Australia (S.A. Division)
Adelaide,3,33027,OSBORN,LP,41700,2199,UAPP,SA,179,Liberal Party of Australia (S.A. Division)
Adelaide,4,33027,OSBORN,LP,44819,3119,GRN,SA,179,Liberal Party of Australia (S.A. Division)
Adelaide,0,33030,REA,UAPP,3479,3479,FirstPref,SA,179,United Australia Party
Adelaide,1,33030,REA,UAPP,3654,175,AUD,SA,179,United Australia Party
Adelaide,2,33030,REA,UAPP,4082,428,AJP,SA,179,United Australia Party
Adelaide,3,33030,REA,UAPP,0,-4082,UAPP,SA,179,United Australia Party
Adelaide,4,33030,REA,UAPP,0,0,GRN,SA,179,United Australia Party
Aston,0,32313,PETHIYAGODA,ALP,29839,29839,FirstPref,VIC,197,Australian Labor Party (Victorian Branch)
Aston,1,32313,PETHIYAGODA,ALP,30954,1115,DLP,VIC,197,Australian Labor Party (Victorian Branch)
Aston,2,32313,PETHIYAGODA,ALP,32093,1139,UAPP,VIC,197,Australian Labor Party (Victorian Branch)
Aston,3,32313,PETHIYAGODA,ALP,39910,7817,GVIC,VIC,197,Australian Labor Party (Victorian Branch)
Aston,0,32321,KENNEDY,DLP,3029,3029,FirstPref,VIC,197,Democratic Labour Party
Aston,1,32321,KENNEDY,DLP,0,-3029,DLP,VIC,197,Democratic Labour Party
Aston,2,32321,KENNEDY,DLP,0,0,UAPP,VIC,197,Democratic Labour Party
Aston,3,32321,KENNEDY,DLP,0,0,GVIC,VIC,197,Democratic Labour Party
Aston,0,32408,COOKSON,GVIC,8867,8867,FirstPref,VIC,197,The Australian Greens - Victoria
Aston,1,32408,COOKSON,GVIC,9388,521,DLP,VIC,197,The Australian Greens - Victoria
Aston,2,32408,COOKSON,GVIC,10154,766,UAPP,VIC,197,The Australian Greens - Victoria
Aston,3,32408,COOKSON,GVIC,0,-10154,GVIC,VIC,197,The Australian Greens - Victoria
Aston,0,33330,TUDGE,LP,54744,54744,FirstPref,VIC,197,Liberal Party of Australia (Victorian Division)
Aston,1,33330,TUDGE,LP,55672,928,DLP,VIC,197,Liberal Party of Australia (Victorian Division)
Aston,2,33330,TUDGE,LP,57843,2171,UAPP,VIC,197,Liberal Party of Australia (Victorian Division)
