DivisionNm,CountNum,CandidateId,Surname,PartyAb,Votes,PrefFlow,FromPartyAb,StateAb,DivisionId,PartyNm
Adelaide,0,36973,GEORGANAS,ALP,45086,45086,FirstPref,SA,179,Australian Labor Party (South Australian Branch)
Adelaide,1,36973,GEORGANAS,ALP,45150,64,CYA,SA,179,Australian Labor Party (South Australian Branch)
Adelaide,2,36973,GEORGANAS,ALP,45470,320,SOPA,SA,179,Australian Labor Party (South Australian Branch)
Adelaide,3,36973,GEORGANAS,ALP,45977,507,UAPP,SA,179,Australian Labor Party (South Australian Branch)
Adelaide,4,36973,GEORGANAS,ALP,47119,1142,ON,SA,179,Australian Labor Party (South Australian Branch)
Adelaide,5,36973,GEORGANAS,ALP,69816,22697,GRN,SA,179,Australian Labor Party (South Australian Branch)
Adelaide,0,37714,GERHARD,CYA,870,870,FirstPref,SA,179,Australian Federation Party
Adelaide,1,37714,GERHARD,CYA,0,-870,CYA,SA,179,Australian Federation Party
Adelaide,2,37714,GERHARD,CYA,0,0,SOPA,SA,179,Australian Federation Party
Adelaide,3,37714,GERHARD,CYA,0,0,UAPP,SA,179,Australian Federation Party
Adelaide,4,37714,GERHARD,CYA,0,0,ON,SA,179,Australian Federation Party
Adelaide,5,37714,GERHARD,CYA,0,0,GRN,SA,179,Australian Federation Party
Adelaide,0,36463,GALDIES,GRN,22666,22666,FirstPref,SA,179,Australian Greens
Adelaide,1,36463,GALDIES,GRN,22740,74,CYA,SA,179,Australian Greens
Adelaide,2,36463,GALDIES,GRN,23683,943,SOPA,SA,179,Australian Greens
Adelaide,3,36463,GALDIES,GRN,24210,527,UAPP,SA,179,Australian Greens
Adelaide,4,36463,GALDIES,GRN,26110,1900,ON,SA,179,Australian Greens
Adelaide,5,36463,GALDIES,GRN,0,-26110,GRN,SA,179,Australian Greens
Adelaide,0,37049,GRANTHAM,LP,36080,36080,FirstPref,SA,179,Liberal Party of Australia (S.A. Division)
Adelaide,1,37049,GRANTHAM,LP,36163,83,CYA,SA,179,Liberal Party of Australia (S.A. Division)
Adelaide,2,37049,GRANTHAM,LP,36313,150,SOPA,SA,179,Liberal Party of Australia (S.A. Division)
Adelaide,3,37049,GRANTHAM,LP,36882,569,UAPP,SA,179,Liberal Party of Australia (S.A. Division)
Adelaide,4,37049,GRANTHAM,LP,39535,2653,ON,SA,179,Liberal Party of Australia (S.A. Division)
Adelaide,5,37049,GRANTHAM,LP,42948,3413,GRN,SA,179,Liberal Party of Australia (S.A. Division)
Adelaide,0,36885,ALLWOOD,ON,3376,3376,FirstPref,SA,179,Pauline Hanson's One Nation
Adelaide,1,36885,ALLWOOD,ON,3685,309,CYA,SA,179,Pauline Hanson's One Nation
Adelaide,2,36885,ALLWOOD,ON,3824,139,SOPA,SA,179,Pauline Hanson's One Nation
Adelaide,3,36885,ALLWOOD,ON,5695,1871,UAPP,SA,179,Pauline Hanson's One Nation
Adelaide,4,36885,ALLWOOD,ON,0,-5695,ON,SA,179,Pauline Hanson's One Nation
Adelaide,5,36885,ALLWOOD,ON,0,0,GRN,SA,179,Pauline Hanson's One Nation
Adelaide,0,36053,McMILLAN,SOPA,1631,1631,FirstPref,SA,179,"FUSION: Science, Pirate, Secular, Climate Emergency"
Adelaide,1,36053,McMILLAN,SOPA,1756,125,CYA,SA,179,"FUSION: Science, Pirate, Secular, Climate Emergency"
Adelaide,2,36053,McMILLAN,SOPA,0,-1756,SOPA,SA,179,"FUSION: Science, Pirate, Secular, Climate Emergency"
Adelaide,3,36053,McMILLAN,SOPA,0,0,UAPP,SA,179,"FUSION: Science, Pirate, Secular, Climate Emergency"
Adelaide,4,36053,McMILLAN,SOPA,0,0,ON,SA,179,"FUSION: Science, Pirate, Secular, Climate Emergency"
Adelaide,5,36053,McMILLAN,SOPA,0,0,GRN,SA,179,"FUSION: Science, Pirate, Secular, Climate Emergency"
Adelaide,0,36094,ALLWOOD,UAPP,3055,3055,FirstPref,SA,179,United Australia Party
Adelaide,1,36094,ALLWOOD,UAPP,3270,215,CYA,SA,179,United Australia Party
Adelaide,2,36094,ALLWOOD,UAPP,3474,204,SOPA,SA,179,United Australia Party
Adelaide,3,36094,ALLWOOD,UAPP,0,-3474,UAPP,SA,179,United Australia Party
Adelaide,4,36094,ALLWOOD,UAPP,0,0,ON,SA,179,United Australia Party
Adelaide,5,36094,ALLWOOD,UAPP,0,0,GRN,SA,179,United Australia Party
Aston,0,36377,DOYLE,ALP,31949,31949,FirstPref,VIC,197,Australian Labor Party (Victorian Branch)
Aston,1,36377,DOYLE,ALP,32107,158,TNL,VIC,197,Australian Labor Party (Victorian Branch)
Aston,2,36377,DOYLE,ALP,32377,270,LDP,VIC,197,Australian Labor Party (Victorian Branch)
Aston,3,36377,DOYLE,ALP,32752,375,ON,VIC,197,Australian Labor Party (Victorian Branch)
Aston,4,36377,DOYLE,ALP,34414,1662,UAPP,VIC,197,Australian Labor Party (Victorian Branch)
Aston,5,36377,DOYLE,ALP,46320,11906,GVIC,VIC,197,Australian Labor Party (Victorian Branch)
Aston,0,36489,COOKSON,GVIC,11855,11855,FirstPref,VIC,197,The Australian Greens - Victoria
Aston,1,36489,COOKSON,GVIC,12221,366,TNL,VIC,197,The Australian Greens - Victoria
Aston,2,36489,COOKSON,GVIC,12419,198,LDP,VIC,197,The Australian Greens - Victoria
Aston,3,36489,COOKSON,GVIC,12826,407,ON,VIC,197,The Australian Greens - Victoria
Aston,4,36489,COOKSON,GVIC,15043,2217,UAPP,VIC,197,The Australian Greens - Victoria
Aston,5,36489,COOKSON,GVIC,0,-15043,GVIC,VIC,197,The Australian Greens - Victoria
Aston,0,36938,ROCHE,LDP,2111,2111,FirstPref,VIC,197,Liberal Democratic Party
Aston,1,36938,ROCHE,LDP,2244,133,TNL,VIC,197,Liberal Democratic Party
Aston,2,36938,ROCHE,LDP,0,-2244,LDP,VIC,197,Liberal Democratic Party
Aston,3,36938,ROCHE,LDP,0,0,ON,VIC,197,Liberal Democratic Party
Aston,4,36938,ROCHE,LDP,0,0,UAPP,VIC,197,Liberal Democratic Party
Aston,5,36938,ROCHE,LDP,0,0,GVIC,VIC,197,Liberal Democratic Party
Aston,0,36704,TUDGE,LP,42260,42260,FirstPref,VIC,197,Liberal Party of Australia (Victorian Division)
Aston,1,36704,TUDGE,LP,42382,122,TNL,VIC,197,Liberal Party of Australia (Victorian Division)
Aston,2,36704,TUDGE,LP,42895,513,LDP,VIC,197,Liberal Party of Australia (Victorian Division)
Aston,3,36704,TUDGE,LP,43398,503,ON,VIC,197,Liberal Party of Australia (Victorian Division)
Aston,4,36704,TUDGE,LP,48703,5305,UAPP,VIC,197,Liberal Party of Australia (Victorian Division)
Aston,5,36704,TUDGE,LP,51840,3137,GVIC,VIC,197,Liberal Party of Australia (Victorian Division)
Aston,0,37636,IBBOTSON,ON,3022,3022,FirstPref,VIC,197,Pauline Hanson's One Nation
Aston,1,37636,IBBOTSON,ON,3125,103,TNL,VIC,197,Pauline Hanson's One Nation
Aston,2,37636,IBBOTSON,ON,3714,589,LDP,VIC,197,Pauline Hanson's One Nation
Aston,3,37636,IBBOTSON,ON,0,-3714,ON,VIC,197,Pauline Hanson's One Nation
Aston,4,37636,IBBOTSON,ON,0,0,UAPP,VIC,197,Pauline Hanson's One Nation
Aston,5,37636,IBBOTSON,ON,0,0,GVIC,VIC,197,Pauline Hanson's One Nation
Aston,0,36181,BRUCE,TNL,973,973,FirstPref,VIC,197,TNL
Aston,1,36181,BRUCE,TNL,0,-973,TNL,VIC,197,TNL
Aston,2,36181,BRUCE,TNL,0,0,LDP,VIC,197,TNL
Aston,3,36181,BRUCE,TNL,0,0,ON,VIC,197,TNL
Aston,4,36181,BRUCE,TNL,0,0,UAPP,VIC,197,TNL
Aston,5,36181,BRUCE,TNL,0,0,GVIC,VIC,197,TNL
Aston,0,35983,SPELMAN,UAPP,5990,5990,FirstPref,VIC,197,United Australia Party
Aston,1,35983,SPELMAN,UAPP,6081,91,TNL,VIC,197,United Australia Party
Aston,2,35983,SPELMAN,UAPP,6755,674,LDP,VIC,197,United Australia Party
Aston,3,35983,SPELMAN,UAPP,9184,2429,ON,VIC,197,United Australia Party
Aston,4,35983,SPELMAN,UAPP,0,-9184,UAPP,VIC,197,United Australia Party
Aston,5,35983,SPELMAN,UAPP,0,0,GVIC,VIC,197,United Australia Party
Ballarat,0,36409,KING,ALP,43171,43171,FirstPref,VIC,198,Australian Labor Party (Victorian Branch)
Ballarat,1,36409,KING,ALP,43221,50,CYA,VIC,198,Australian Labor Party (Victorian Branch)
Ballarat,2,36409,KING,ALP,43601,380,GRAHAM,VIC,198,Australian Labor Party (Victorian Branch)
Ballarat,3,36409,KING,ALP,44094,493,LDP,VIC,198,Australian Labor Party (Victorian Branch)
Ballarat,4,36409,KING,ALP,44860,766,ON,VIC,198,Australian Labor Party (Victorian Branch)
Ballarat,5,36409,KING,ALP,47330,2470,UAPP,VIC,198,Australian Labor Party (Victorian Branch)
Ballarat,6,36409,KING,ALP,60770,13440,GVIC,VIC,198,Australian Labor Party (Victorian Branch)
